CookedName,RawName,UsedFor
Label,Label,~all~
Language,Language,~all~
LastPrinted,LastPrinted,~General~all~
LegalTrademarks,LegalTrademarks,~all~
Length,Length,~General~all~mp3~
LensMaker,LensMaker,~jpg~all~
LensModel,LensModel,~jpg~all~
LightSource,LightSource,~jpg~all~
LinkStatus,LinkStatus,~all~
LinkTarget,LinkTarget,~all~
LocalComputer,LocalComputer,~General~all~
Location,Location,~General~all~
Manufacturer,Manufacturer,~jpg~all~
MaxAperture,MaxAperture,~jpg~all~
MediaCreated,MediaCreated,~General~all~
MeetingStatus,MeetingStatus,~task~all~
MeteringMode,MeteringMode,~jpg~all~
MiddleName,MiddleName,~Contact~all~
Mileage,Mileage,~all~
MobilePhone,MobilePhone,~Contact~all~
Model,Model,~jpg~all~
Mood,Mood,~mp3~General~all~
Name,Name,~Contact~all~
Nickname,Nickname,~Contact~all~
OfficeLocation,OfficeLocation,~Contact~all~
OfflineStatus,OfflineStatus,~all~
OptionalAttendeeAddresses,OptionalAttendeeAddresses,~task~all~
OptionalAttendees,OptionalAttendees,~task~all~
OrganiserAddress,OrganiserAddress,~task~all~
OrganiserName,OrganiserName,~task~all~
Orientation,Orientation,~jpg~all~
OtherAddress,OtherAddress,~Contact~all~
OtherCity,OtherCity,~Contact~all~
OtherCountryOrRegion,"OtherCountry/Region",~Contact~all~
OtherCountyOrRegion,"OtherCounty/Region",~Contact~all~
OtherPoBox,"OtherP.o.Box",~Contact~all~
OtherPostCode,OtherPostCode,~Contact~all~
OtherStreet,OtherStreet,~Contact~all~
Owner,Owner,~General~all~
PoBox,"P.O.box",~Contact~all~
Pager,Pager,~Contact~all~
Pages,Pages,~General~all~
Paired,Paired,~General~all~
ParentalRating,ParentalRating,~tv~all~
ParentalRatingReason,ParentalRatingReason,~tv~all~
Participants,Participants,~task~all~
PartOfACompilation,PartOfACompilation,~mp3~all~
PartOfSet,PartOfSet,~General~all~
Path,Path,~General~all~
People,People,~General~all~
PerceivedType,PerceivedType,~General~all~
PersonalTitle,PersonalTitle,~Contact~all~
PostalAddress,PostalAddress,~Contact~all~
Postcode,Postcode,~Contact~all~
PrimaryEmail,PrimaryEmail,~Contact~all~
PrimaryPhone,PrimaryPhone,~Contact~all~
Priority,Priority,~task~all~
Producers,Producers,~tv~all~
ProductName,ProductName,~Contact~all~
ProductVersion,ProductVersion,~Contact~all~
Profession,Profession,~Contact~all~
ProgramDescription,ProgramDescription,~General~all~
ProgramMode,ProgramMode,~General~all~
